company_name,homepage_url,recruits_url,memo
뱅크웨어글로벌,https://www.bankwareglobal.com,,
카카오엔터프라이즈,https://www.kakaoenterprise.com,,
카카오브레인,,,
라인플러스,https://linepluscorp.com,,
네이버웹툰,https://webtoonscorp.com,,
와이즈앱,https://www.wiseapp.co.kr,,
비모뉴먼트(마이리얼트립),https://www.myrealtrip.com,,
트리플,https://www.triple.guide,,
야나두,https://www.yanadoo.co.kr,,
플라이북,https://www.flybook.kr,,
도도포인트,https://www.dodopoint.com,,
비프로컴퍼니,https://www.bepro11.com,,
하이퍼리즘,https://www.hyperithm.com,,
몰로코코리아,https://www.moloco.com/ko,,
센트비,https://www.sentbe.com,,
코인플러그,https://www.coinplug.com,,
람다256,https://www.lambda256.io,,
해치랩스,https://www.haechi.io,,
베어로보틱스코리아,https://www.bearrobotics.ai,,
마키나락스,https://www.makinarocks.ai,,
비솔,https://www.visol.co.kr/index.htm,,
에이럭스,https://www.aluxonline.com/,,
인벤티스,https://www.inventis.co.kr,,
클로버추얼패션,https://www.clo3d.com,,
씨유박스,https://secern.ai/,,
알체라,https://www.alchera.ai,,
에이아이매틱스,https://www.aimatics.ai,,
아이지에이웍스(IGAWorks),https://www.igaworks.com,,
채널코퍼레이션,https://www.channel.io,,
플라네타리움랩스,https://planetariumhq.com/?lang=ko,,
크래프트테크놀로지스,https://www.qraftec.com,,
리벨리온,https://kr.rebellions.ai/,,
에이유,https://www.augold.co.kr/,,
