회사명,대표이사,홈페이지,본사주소,재무현황연도
주식회사 모션어드바이저,박성호,http://motionadvisor.co.kr,"서울특별시 강남구 학동로 161, 3층, 4층 (논현동, 건일빌딩)",2024
아토랩 주식회사,박석준,http://,"서울특별시 서초구 강남대로43길 6, 5층 (서초동)",2024
주식회사 랜드로드,이주승,www.landroad.co.kr,"전북특별자치도 전주시 덕진구 유상로 67, 614호(팔복동2가) ",2024
고려OA,김용곤,http://,"경상남도 고성군 고성읍 동외로 95, 1층",2024
팡고지와이 주식회사,"고성엽,유승재",https://pango-gy.com/kr,"서울특별시 강남구 언주로 622, 4층 (논현동)",2024
(주)리시드,류한주,http://www.reseedcorp.com,"서울특별시 강남구 선릉로 747, 6층 (논현동)",2024
주식회사 리모,배은경,http://remo.re.kr/,"충청남도 아산시 배방읍 희망로46번길 45-11, 3층 302호(충남콘텐츠기업지원센터) ",2024
에스제이테크,이성종,http://,"경상북도 경주시 감포읍 동해안로 2674, A동 103-3호",2024
디케이엠텍(주),차영문,www.dkmtech.com,"서울특별시 강남구 봉은사로24길 74, 동강엠텍 (역삼동)",2024
(주)크리스컴퍼니,나희동,http://www.chris.company,"서울특별시 영등포구 국회대로66길 23, 801호 (여의도동, 산정빌딩)",2024
이로 주식회사,김현철,http://,"서울특별시 서초구 강남대로95길 19-4, 603호(잠원동, 호영빌딩)",2024
(주)시큐어런,김선호,http://,"경상남도 창원시 의창구 창원대로 18번길 46 1216,1217호(팔용동, 경남창원과학기술진흥원)",2024
(주)마이센,강민영,http://www.mysen.kr,"경기도 고양시 일산동구 호수로 358-39, 707호 (백석동)",2024
(주)젠다소프트,최진욱,http://zenda.co.kr,"서울특별시 서초구 서초대로46길 9, 5층 (서초동, 빌딩SM)",2024
주식회사 비전테크,이승우,www.vtek.co.kr,"부산광역시 해운대구 센텀중앙로 97, 에이동 2509호 (재송동, 센텀스카이비즈)",2024
하이온넷(주),박기범,http://www.haion.net,"서울특별시 구로구 디지털로 288, 11층 1105호 (구로동, 대륭포스트타워1차)",2024
하이퍼테크,김범석,http://www.xrp.kr,"경기도 고양시 덕양구 꽃마을로 46, 704~708호(향동동, 디엠씨스타비즈 5블럭 해링턴타워) ",2024
동인엔지니어링,전임석,http://,"울산광역시 울주군 청량읍 군청2길 4-1, 1층",2024
재승사무기,허광인,http://,경상남도 고성군 고성읍 동외로 93,2024
주식회사 한국데이터뱅크,조나영,http://,"서울특별시 서초구 강남대로34길 69, 401호(양재동, 이화빌딩) ",2024
주식회사 데이콤,채태석,http://,"경상북도 구미시 산호대로 187, 209호(공단동, 낙동상가) ",2024
주식회사 케이에이솔루션,안정은,http://,"경기도 광명시 일직로 43, 지아이디씨 비동 2901호 (일직동)",2024
동보텔레콤(주),김상훈,http://,경상북도 경산시 강변서로51길 15-1 (정평동),2024
주식회사 윔,전우진,http://www.wimcorp.co.kr,"대구광역시 북구 대학로 80, 203호 (산격동, 창업보육센터)",2024
주식회사 비케이아이티,정병곤,http://bkits.co.kr,"서울특별시 서초구 논현로 87, B동 14층 1402호 (양재동, 삼호물산빌딩)",2024
(주)대한정보,김승모,http://dhinfo.co.kr,"대구광역시 북구 유통단지로8길 120-5, 1층 (산격동)",2024
주식회사 코멘토,이재성,https://comento.kr/?index,"서울특별시 중구 칠패로 28, 3층(봉래동1가) ",2024
주식회사 다나가,정성욱,ums.danaga.co.kr,"서울특별시 금천구 가산디지털1로 204, 715호(가산동) (가산동)",2024
주식회사 엘이플러스,김종한,http://,"경기도 안양시 동안구 평촌대로 239,  2017호 (비산동, 신안메트로칸)",2024
트랜스바운더리생태연구소 유한회사,김재현,http://,"강원특별자치도 고성군 토성면 아야진해변길 1, 1동 811호 (유진클레시움아파트)",2024
(주)에버솔루션,구성철,http://,"서울특별시 송파구 송파대로 55, A동 5층 513호 (장지동, 서울복합물류)",2024
지(G)통신,박병수,http://,충청북도 충주시 상방13길 3 (봉방동),2024
(주)에스피랩,안용남,http://,"서울특별시 강남구 도곡로 146, 3층,5층,6층(도곡동, 삼공빌딩) ",2024
주식회사 디에이이엔지,양은경,https://corpdaeng.imweb.me/,"경기도 평택시 산단로121번길 67, 2층 27호 (모곡동, 제이에이치타워) ",2024
학술정보,오수민,http://,"서울특별시 금천구 가산디지털1로 145(가산동, 에이스하이엔드타워3차 801호, 지하302호)",2024
주식회사 와이젠정보기술,최세진 ,http://www.ygen.co.kr,"서울특별시 강남구 강남대로 340, 9층 (역삼동, 경원빌딩)",2024
한전산업개발(주),함흥규,http://www.kepid.co.kr,"서울특별시 중구 서소문로 115 (서소문동, 한산빌딩) ",2024
(주)메타솔루션,김병관,http://,"세종특별자치시 남세종로 454, 841호(보람동, 강남제일타워)",2024
(주)나셀프,김혜영,http://naself.com,"서울특별시 노원구 동일로191가길 48, 2층 (공릉동)",2024
주식회사 신안아이티컨설팅,최성민,http://www.saitc.co.kr,"서울특별시 금천구 서부샛길 606, 비동 18층1802호(가산동, 대성디폴리스 지식산업센터) ",2025
대신정보통신(주),"이재원,최현택",www.dsic.co.kr,"광주광역시 서구 상무중앙로 98, 14층 (치평동)",2025
주식회사 드림에이스,임진우,https://drimaes.com,"대구광역시 북구 경대로17길 47, 9층 909호, 910호 (복현동, IT융합산업빌딩)",2024
주식회사 씨에스라인,김대성,http://,"충청북도 청주시 흥덕구 비하로12번길 14, 5층 8호 (비하동, 현대오피스텔)",2024
데이터인포랩,호재문,http://,"인천광역시 부평구 일신로14번길 23, 102동 1604호 (일신동, 풍림아파트)",2024
주식회사 일렉서티,이미연,http://,"서울특별시 송파구 송파대로 260, 5층 509-10호(가락동, 제일오피스텔)",2024
마이크로정보,이보영,http://,충청남도 금산군 금산읍 인삼로 28,2024
문엔지니어링(주),"문헌일, 김성만",www.mooneng.co.kr,"서울특별시 구로구 디지털로 242, 17층 (구로동)",2024
남광통신,최석규,http://,인천광역시 부평구 마장로 206 (산곡동),2024
한국센서연구소 주식회사,이수민,http://ksensor.co.kr,"대전광역시 유성구 대학로 291, 804호 (구성동, 카이스트 나노종합기술원)",2024
주식회사 멀티스퀘어,정승원,http://msq.kr,전라남도 순천시 비봉길 62-48 (조례동),2024
스크린정보통신(주),조승제,www.screendc.co.kr,"서울특별시 서초구 동산로34(양재동, 환빌딩 2층 지하)",2024
주식회사 덴트너,남원욱,https://dentner.com,"광주광역시 북구 첨단과기로 123, 창업진흥센터B동 5층 501-5호(오룡동, 광주과학기술원) ",2024
(주)우진,이성녀,http://,강원도 원주시 태장공단길 50 (태장동),2024
아이티무유 주식회사,심영민,http://itmoou.com,"충청북도 청주시 상당구 상당로 127,자연타워  제5층 501-113호 (북문로2가)",2024
(주)트리토,박은신,http://www.trito.co.kr,"서울특별시 서초구 서초대로64길 47, 303호(서초동, 희정빌딩) ",2024
주식회사 에스와이랩,이치영,http://,"서울특별시 금천구 서부샛길 606, B동 911-2호 (가산동)",2024
(주)사이버테크프랜드,김정혁,http://www.cyberwin.co.kr,"경기도 하남시 조정대로 150, 951호(덕풍동, 아이테코)",2024
(주)서화전력,이동신,http://,"강원도 인제군 남면 신남로58번길 22, 2층",2024
트리거정보기술(주),김흥길,http://,"서울특별시 송파구 법원로 92, 11층 1114호(문정동, 파트너스1)",2024
주식회사 글로벌에스씨엠서비스,원명수,http://,"서울특별시 마포구 양화로 73, 6층33호 (서교동, 체리스빌딩) ",2024
주식회사 파이브텍,김진태,http://www.fivetek.com,"경기도 성남시 중원구 사기막골로 177, 901-903호 (상대원동, 금강하이테크밸리1차)",2024
리드웍스,남이석,http://,"서울특별시 강동구 천중로55길 50, 502호(길동, 삼성시티뷰) ",2024
주식회사 케이브레인컴퍼니,민상일,https://www.kbrainc.com/,"서울특별시 동작구 보라매로5길 51, 301-307호(신대방동, 롯데타워) ",2024
